"FCT_TOPIC","THRESHOLD","FCT_HORIZON","MSE_EQUAL","RATIO_SUB","RATIO_FULL"
"HICP","""-Inf""",1,47.92,1.65,3.27
"HICP","""-1""",1,47.92,0.78,3.27
"HICP","""-0.9""",1,47.92,0.77,3.27
"HICP","""-0.8""",1,47.92,0.76,3.27
"HICP","""-0.7""",1,47.92,0.77,3.27
"HICP","""-0.6""",1,47.92,0.8,3.27
"HICP","""-0.5""",1,47.92,0.83,3.27
"HICP","""-0.4""",1,47.92,0.88,3.27
"HICP","""-0.3""",1,47.92,0.92,2.24
"HICP","""-0.2""",1,47.92,0.95,1.92
"HICP","""-0.1""",1,47.92,0.97,1.79
"HICP","""0""",1,47.92,0.98,1.75
"HICP","""-Inf""",2,64.78,3.31,1.88
"HICP","""-1""",2,64.78,0.7,1.88
"HICP","""-0.9""",2,64.78,0.71,1.88
"HICP","""-0.8""",2,64.78,0.72,1.88
"HICP","""-0.7""",2,64.78,0.74,1.88
"HICP","""-0.6""",2,64.78,0.77,1.88
"HICP","""-0.5""",2,64.78,0.8,1.88
"HICP","""-0.4""",2,64.78,0.83,1.88
"HICP","""-0.3""",2,64.78,0.86,1.3
"HICP","""-0.2""",2,64.78,0.88,1.16
"HICP","""-0.1""",2,64.78,0.89,1.1
"HICP","""0""",2,64.78,0.89,1.16
"RGDP","""-Inf""",1,341.43,1.15,3.49
"RGDP","""-1""",1,341.43,0.93,3.49
"RGDP","""-0.9""",1,341.43,0.94,3.49
"RGDP","""-0.8""",1,341.43,0.96,3.49
"RGDP","""-0.7""",1,341.43,0.98,3.49
"RGDP","""-0.6""",1,341.43,1.01,3.49
"RGDP","""-0.5""",1,341.43,1.04,3.49
"RGDP","""-0.4""",1,341.43,1.06,3.49
"RGDP","""-0.3""",1,341.43,1.08,3.26
"RGDP","""-0.2""",1,341.43,1.08,2.5
"RGDP","""-0.1""",1,341.43,1.09,2.18
"RGDP","""0""",1,341.43,1.09,2.02
"RGDP","""-Inf""",2,350.63,1.44,2.08
"RGDP","""-1""",2,350.63,1.03,2.08
"RGDP","""-0.9""",2,350.63,1.03,2.08
"RGDP","""-0.8""",2,350.63,1.03,2.08
"RGDP","""-0.7""",2,350.63,1.04,2.08
"RGDP","""-0.6""",2,350.63,1.05,2.08
"RGDP","""-0.5""",2,350.63,1.07,2.08
"RGDP","""-0.4""",2,350.63,1.08,1.91
"RGDP","""-0.3""",2,350.63,1.08,1.81
"RGDP","""-0.2""",2,350.63,1.09,1.73
"RGDP","""-0.1""",2,350.63,1.09,1.63
"RGDP","""0""",2,350.63,1.09,1.6
"UNEM","""-Inf""",1,229.67,0.25,38.35
"UNEM","""-1""",1,229.67,0.14,38.35
"UNEM","""-0.9""",1,229.67,0.14,38.35
"UNEM","""-0.8""",1,229.67,0.14,38.35
"UNEM","""-0.7""",1,229.67,0.14,38.35
"UNEM","""-0.6""",1,229.67,0.14,38.35
"UNEM","""-0.5""",1,229.67,0.16,38.35
"UNEM","""-0.4""",1,229.67,0.18,38.35
"UNEM","""-0.3""",1,229.67,0.2,33.62
"UNEM","""-0.2""",1,229.67,0.21,17.18
"UNEM","""-0.1""",1,229.67,0.22,10.17
"UNEM","""0""",1,229.67,0.23,8.34
"UNEM","""-Inf""",2,502.65,0.58,11.28
"UNEM","""-1""",2,502.65,0.34,11.28
"UNEM","""-0.9""",2,502.65,0.34,11.28
"UNEM","""-0.8""",2,502.65,0.33,11.28
"UNEM","""-0.7""",2,502.65,0.33,11.28
"UNEM","""-0.6""",2,502.65,0.33,11.28
"UNEM","""-0.5""",2,502.65,0.33,11.28
"UNEM","""-0.4""",2,502.65,0.33,10.42
"UNEM","""-0.3""",2,502.65,0.33,6.98
"UNEM","""-0.2""",2,502.65,0.33,4.99
"UNEM","""-0.1""",2,502.65,0.33,4.67
"UNEM","""0""",2,502.65,0.33,3.77
